id,idi,speech_part
242,302,'verb_intransitive_imperfective'
243,304,'verb_transitive_terminative'
244,306,'verb_transitive_imperfective'
245,318,'verb_transitive_imperfective'
246,322,'verb_transitive_imperfective'
247,326,'verb_intransitive_imperfective'
248,327,'verb_intransitive_imperfective'
249,328,'verb_transitive_imperfective'
250,334,'verb_transitive_terminative'
251,336,'verb_transitive_imperfective'
252,340,'verb_transitive_imperfective'
253,346,'verb_transitive_terminative'
254,348,'verb_transitive_imperfective'
255,352,'verb_transitive_imperfective'
256,356,'verb_transitive_imperfective'
257,360,'verb_transitive_imperfective'
258,368,'verb_transitive_imperfective'
259,384,'verb_transitive_imperfective'
261,389,'verb_intransitive_imperfective'
262,404,'verb_transitive_imperfective'
263,409,'verb_intransitive_imperfective'
264,415,'verb_intransitive_terminative'
265,419,'verb_intransitive_terminative'
267,420,'verb_transitive_imperfective'
268,424,'verb_transitive_imperfective'
269,432,'verb_transitive_imperfective'
270,436,'verb_transitive_imperfective'
272,441,'verb_transitive_imperfective'
273,445,'adverb'
274,446,'conjunction'
275,447,'interjection'
276,448,'particle'
277,449,'preposition'
278,NULL,'name_month'
279,NULL,'name_bg-various'
280,NULL,'name_bg-place'
281,NULL,'name_country'
282,NULL,'name_capital'
283,NULL,'name_city'
284,NULL,'name_various'
285,NULL,'name_popular'
286,NULL,'name_people_family'
287,NULL,'name_people_family'
288,NULL,'name_people_family'
289,NULL,'name_people_family'
290,NULL,'name_people_name'
291,NULL,'name_people_name'
292,NULL,'name_people_name'
293,437,'verb_intransitive_imperfective'
294,353,'verb_intransitive_imperfective'
295,295,'verb_intransitive_imperfective'
296,439,'verb_transitive_terminative'
297,438,'verb_intransitive_imperfective'
298,440,'verb_intransitive_terminative'
299,261,'verb_intransitive_terminative'
300,303,'verb'
301,357,'verb_intransitive_imperfective'
302,260,'verb_transitive_terminative'
303,385,'verb_intransitive_imperfective'
304,369,'verb_intransitive_imperfective'
305,359,'verb_intransitive_terminative'
306,370,'verb_transitive_terminative'
307,358,'verb_transitive_terminative'
308,362,'verb_transitive_terminative'
309,307,'verb_intransitive_imperfective'
